borough,total,hispanic_ratio,h_white_only_ratio,h_black_only_ratio,non_hispanic_ratio,nh_white_only_ratio,nh_black_only_ratio,nh_other_ratio,age_less_20,age_20_24,age_25_29,age_30_34,age_35_39,age_plus_40,medicaid,self_pay,other_insurance,not_stated
New York State,336.5,344.4,189,534.6,334.1,142.9,758.5,202.1,1012.9,588.8,378.4,214.6,203.4,269.1,NA,NA,NA,NA
New York City,450.5,428.1,167.7,570.6,459.4,165.6,851.7,243.2,1491.4,792.2,526.8,302.8,264.2,323,NA,NA,NA,NA
Bronx,623.3,500.2,172.2,684.6,786.6,369.8,734.3,419.3,1291.9,860.8,605,497.1,443.1,447.8,NA,NA,NA,NA
Brooklyn,351.7,393.1,214.2,432,343.7,88.6,837.7,162.5,1388.4,515.3,412.6,251.8,210.5,242.8,NA,NA,NA,NA
Manhattan,537.5,519.8,220.6,601.4,542.9,320.8,1228.3,253.2,1964.9,1768.6,988.1,312.2,256.5,312,NA,NA,NA,NA
Queens,445.7,329.4,80.4,287.4,494.2,155,895.1,273.1,1780.1,915.6,476.5,282.9,275.7,396.4,NA,NA,NA,NA
Staten Island,275.6,311.7,377.9,311.8,264.7,137.9,692.2,142.9,1252.2,721.7,307,145.7,130,231.9,NA,NA,NA,NA
New York State,2971.74273355702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3070.65868263473,266.3101604278075,96.87455128511942,307.46644295302013
New York City,2219.9186905344714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2489.167569369219,113.6206896551724,50.18963337547409,676.6467065868263
Bronx,1604.314720812183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047.2753007784856,162.5766871165644,31.333136269583207,667.5257731958762
Brooklyn,2843.2893120393123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3484.339190221543,115.68123393316196,50.81710320125365,485.7142857142857
Manhattan,1860.494392309453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1411.7111650485438,31.963470319634705,15.9072526287409,1734.375
Queens,2243.482620320856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2447.0920206928986,158.75081327260898,29.41956003180493,284.1328413284133
Staten_Island,3628.9308176100626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3086.471408647141,137.75510204081633,596.3114754098361,466.6666666666667
